"Feature"	"Gain"	"Cover"	"Frequency"
"cliente_antiguedad"	0.270970116701652	0.0672926823618474	0.0305111096715683
"Visa_mpagospesos"	0.0864764090794984	0.0299083633164391	0.0255878732914426
"Master_mpagospesos"	0.0800172253703713	0.0381071503216592	0.016583533069897
"ctrx_quarter"	0.0599875592787281	0.0159988030343922	0.0251991967351169
"Visa_delinquency"	0.0400907002530834	0.0182534769212903	0.00809742825678565
"mrentabilidad_annual"	0.0334916991761253	0.030735221803833	0.0317419187665997
"Master_delinquency"	0.0234858233420043	0.0143277494242149	0.0082917665349485
"mcaja_ahorro_adicional"	0.0192604280962813	0.0284281902668884	0.0267539029604198
"ctarjeta_visa_transacciones"	0.01895685813628	0.00578447709850072	0.00945779620392563
"mcuenta_corriente"	0.0164004941641627	0.0458223193108846	0.0275312560730712
"Master_mpagominimo"	0.0159538495063589	0.0244073831812879	0.0198872837986655
"mactivos_margen"	0.0149059190297902	0.0225729207768407	0.0277903737772883
"tcallcenter"	0.0140455702881037	0.0106846242515406	0.00673706030964566
"mpasivos_margen"	0.0138876361394813	0.0170060024833889	0.0230614756753255
"mtarjeta_master_consumo"	0.0126514170143285	0.0140736633309384	0.013409341193237
"Master_mfinanciacion_limite"	0.0121167665035473	0.0258238056528198	0.0252639761611712
"ctarjeta_master_transacciones"	0.0101330293733873	0.010745562050178	0.00757919284835136
"Visa_mpagominimo"	0.00997298963817693	0.0196398812040971	0.0228671373971627
"ccallcenter_transacciones"	0.00995995586107957	0.019846852934451	0.0158061799572456
"cliente_edad"	0.00946753831820506	0.0179937837662658	0.0253287555872255
"mpayroll"	0.00844203296280878	0.0205919718803819	0.0159357388093541
"mcomisiones_mantenimiento"	0.00825670211960106	0.0233901114911743	0.0213772105979141
"ccuenta_corriente"	0.00809525301419774	0.00450958484386914	0.0052471335103971
"mcuentas_saldo"	0.00757785993388143	0.00846364822617518	0.0234501522316512
"Visa_msaldopesos"	0.00698778622998171	0.00533171333629928	0.0127615469326942
"Visa_msaldototal"	0.00665695596605885	0.00607091200436504	0.014316253157997
"mtarjeta_visa_consumo"	0.0063434223560598	0.00436268371044283	0.00952257562997992
"Master_msaldopesos"	0.00612697616693219	0.0139375511979518	0.00893956079549135
"Visa_mfinanciacion_limite"	0.00604579296719431	0.0149038093544265	0.0168426507741141
"mdescubierto_preacordado"	0.00587408737301501	0.0097118298666085	0.00822698710889421
"ccomisiones_otras"	0.00582251030747238	0.0136484317586752	0.0136036794713999
"mrentabilidad"	0.00542723590060977	0.00580366281880143	0.019757724946557
"Visa_mlimitecompra"	0.00531955502579288	0.0123475354758101	0.0164539742177884
"ctarjeta_debito"	0.0049935238412082	0.0171312494698916	0.00997603161235991
"ccajas_extracciones"	0.00491324322674568	0.0175786786930295	0.00647794260542852
"cproductos"	0.00483619409042952	0.00629466977563513	0.0148344885664313
"chomebanking_transacciones"	0.00471955288386417	0.0251887118833591	0.0207941957634255
"Master_msaldototal"	0.00465046878402738	0.00980988747451365	0.00751441342229708
"Master_cadelantosefectivo"	0.00451021416377406	0.00404720417539813	0.00155470622530284
"Master_mlimitecompra"	0.00443837684455657	0.0123258705389613	0.0126967675066399
"Visa_mconsumosdolares"	0.00436400114353998	0.00326194362455109	0.0101703698905228
"Visa_mconsumospesos"	0.00419138716971071	0.00358887651114979	0.0160652976614627
"tpaquete1"	0.00412386175664327	0.00687590085461312	0.00459933924985425
"mcomisiones"	0.0039283711461434	0.00433774819309663	0.0168426507741141
"ccomisiones_mantenimiento"	0.00389009573609343	0.0144208301020089	0.00744963399624279
"ccajas_transacciones"	0.00378164019796365	0.00563862628723053	0.00453455982379996
"cpayroll_trx"	0.00376942833061828	0.00561014396729958	0.0069961780138628
"mprestamos_personales"	0.00359478543423422	0.00630342256303073	0.0104942670207942
"Visa_cadelantosefectivo"	0.00337759979376251	0.00113383841293283	0.00116602966897713
"Master_mconsumospesos"	0.00327265029799125	0.00363937736919556	0.00926345792576278
"thomebanking"	0.00321442485616847	0.0117294416960699	0.00570058949277709
"Master_madelantopesos"	0.00321351224216782	0.00288367874737567	0.00181382392951998
"tpaquete9"	0.00308085181841901	0.00413755561866086	0.00187860335557427
"mcomisiones_otras"	0.00258640379296578	0.0104228594308603	0.0114011789855542
"ctarjeta_visa"	0.00254092018090437	0.00435065047747535	0.00362764785903997
"mautoservicio"	0.00241609174587952	0.00735595511242628	0.0104942670207942
"Visa_cconsumos"	0.00230207472242958	0.00194968061781787	0.011595517263717
"Visa_madelantopesos"	0.00227011317495647	0.00136977253782228	0.00278551532033426
"ccuentas"	0.00222581161531495	0.00144155729421238	0.00414588326747425
"matm"	0.00193571357627554	0.00311025731340025	0.00712573686597137
"Visa_mconsumototal"	0.00182229838777278	0.00163930271359229	0.0069961780138628
"cprestamos_personales"	0.00171621208027569	0.0106864221613775	0.00628360432726566
"active_quarter"	0.00163969669500508	0.000795920688750415	0.00168426507741141
"mttarjeta_visa_debitos_automaticos"	0.00163455385325029	0.00125561081227936	0.00842132538705707
"catm_trx"	0.00155094035908579	0.00448662357456752	0.0060892660491028
"Master_tconsumos"	0.00152746088459547	0.00192461007226376	0.00673706030964566
"ctarjeta_debito_transacciones"	0.00152365386904822	0.00270533423023513	0.00712573686597137
"Master_mconsumototal"	0.0015171290689496	0.00136918741558796	0.00362764785903997
"mextraccion_autoservicio"	0.00149918957373522	0.00192431874428092	0.00706095743991708
"cextraccion_autoservicio"	0.00144021810618176	0.00166814002206529	0.00680183973569994
"mpagomiscuentas"	0.00141362404390976	0.00625873994098514	0.00706095743991708
"tpaquete2"	0.00138330286160191	0.000976465117515887	0.00375720671114854
"mcaja_ahorro"	0.00134742520833654	0.00674674668202093	0.00518235408434281
"Visa_mpagado"	0.00133964637185657	0.00503829765705563	0.00563581006672281
"cpagomiscuentas"	0.00120609762590835	0.0127332179641973	0.00615404547515709
"mcuenta_debitos_automaticos"	0.00113253781740857	0.0029131756285675	0.00660750145753709
"ccajas_consultas"	0.0010515179744625	0.00391628230475979	0.00414588326747425
"mttarjeta_master_debitos_automaticos"	0.000967628244631625	0.00487998294065709	0.00446978039774568
"mtransferencias_emitidas"	0.00096294572136727	0.0092026816542422	0.00537669236250567
"Visa_mpagosdolares"	0.000946679908972152	0.00994061389336244	0.00362764785903997
"Visa_msaldodolares"	0.000906517705690693	0.00435300761372594	0.00440500097169139
