cp	min_split	minbucket	max_depth	ganancia_promedio
-0.5	200	66.66667	6	20211111
-0.5	100	33.33333	6	20092222
-0.5	50	16.66667	6	19955556
-0.5	25	8.333333	6	19344444
-0.5	23	7.666667	6	19184444
-0.5	21	7	6	19184444
-0.5	20	6.666667	6	19026667
-0.5	19	6.333333	6	19030000
-0.5	18	6	6	19046667
-0.5	15	5	6	18810000
-0.5	13	4.333333	6	18781111
-0.5	11	3.666667	6	18731111
-0.5	10	3.333333	6	18743333
-0.5	200	66.66667	8	18891111
-0.5	100	33.33333	8	18868889
-0.5	50	16.66667	8	18750000
-0.5	25	8.333333	8	18746667
-0.5	23	7.666667	8	18741111
-0.5	21	7	8	18715556
-0.5	20	6.666667	8	18773333
-0.5	19	6.333333	8	18750000
-0.5	18	6	8	18781111
-0.5	15	5	8	18480000
-0.5	13	4.333333	8	18964444
-0.5	11	3.666667	8	18601111
-0.5	10	3.333333	8	18633333
-0.5	200	66.66667	12	16616667
-0.5	100	33.33333	12	15127778
-0.5	50	16.66667	12	15798889
-0.5	25	8.333333	12	14743333
-0.5	23	7.666667	12	14651111
-0.5	21	7	12	14466667
-0.5	20	6.666667	12	14116667
-0.5	19	6.333333	12	13897778
-0.5	18	6	12	13854444
-0.5	15	5	12	14538889
-0.5	13	4.333333	12	14927778
-0.5	11	3.666667	12	15384444
-0.5	10	3.333333	12	15065556
-0.5	200	66.66667	16	15617778
-0.5	100	33.33333	16	13295556
-0.5	50	16.66667	16	13726667
-0.5	25	8.333333	16	11901111
-0.5	23	7.666667	16	11203333
-0.5	21	7	16	10924444
-0.5	20	6.666667	16	10741111
-0.5	19	6.333333	16	10420000
-0.5	18	6	16	10293333
-0.5	15	5	16	9824444
-0.5	13	4.333333	16	10442222
-0.5	11	3.666667	16	10051111
-0.5	10	3.333333	16	9748889
-0.5	200	66.66667	20	15143333
-0.5	100	33.33333	20	12078889
-0.5	50	16.66667	20	12364444
-0.5	25	8.333333	20	10876667
-0.5	23	7.666667	20	9754444
-0.5	21	7	20	9472222
-0.5	20	6.666667	20	8971111
