cp	min_split	minbucket	max_depth	ganancia_promedio
-0.5	19	6.333333	20	8613333
-0.5	18	6	20	8533333
-0.5	15	5	20	7902222
-0.5	13	4.333333	20	8124444
-0.5	11	3.666667	20	6850000
-0.5	10	3.333333	20	6615556
-0.5	200	66.66667	24	14997778
-0.5	100	33.33333	24	11385556
-0.5	50	16.66667	24	11663333
-0.5	25	8.333333	24	10378889
-0.5	23	7.666667	24	8421111
-0.5	21	7	24	8167778
-0.5	20	6.666667	24	7882222
-0.5	19	6.333333	24	7496667
-0.5	18	6	24	7440000
-0.5	15	5	24	7046667
-0.5	13	4.333333	24	7010000
-0.5	11	3.666667	24	6068889
-0.5	10	3.333333	24	5857778
-0.5	200	66.66667	28	14932222
-0.5	100	33.33333	28	11184444
-0.5	50	16.66667	28	11436667
-0.5	25	8.333333	28	9858889
-0.5	23	7.666667	28	8060000
-0.5	21	7	28	7818889
-0.5	20	6.666667	28	7486667
-0.5	19	6.333333	28	7106667
-0.5	18	6	28	7060000
-0.5	15	5	28	6613333
-0.5	13	4.333333	28	6870000
-0.5	11	3.666667	28	5775556
-0.5	10	3.333333	28	5582222
-0.5	200	66.66667	30	14932222
-0.5	100	33.33333	30	11184444
-0.5	50	16.66667	30	11348889
-0.5	25	8.333333	30	9801111
-0.5	23	7.666667	30	8063333
-0.5	21	7	30	7831111
-0.5	20	6.666667	30	7515556
-0.5	19	6.333333	30	7135556
-0.5	18	6	30	7092222
-0.5	15	5	30	6504444
-0.5	13	4.333333	30	6663333
-0.5	11	3.666667	30	5523333
-0.5	10	3.333333	30	5333333
-0.5	200	66.66667	32	14932222
-0.5	100	33.33333	32	NA
-0.5	50	16.66667	32	NA
-0.5	25	8.333333	32	NA
-0.5	23	7.666667	32	NA
-0.5	21	7	32	NA
-0.5	20	6.666667	32	NA
-0.5	19	6.333333	32	NA
-0.5	18	6	32	NA
-0.5	15	5	32	NA
-0.5	13	4.333333	32	NA
-0.5	11	3.666667	32	NA
-0.5	10	3.333333	32	NA
-0.5	200	66.66667	34	14932222
-0.5	100	33.33333	34	NA
-0.5	50	16.66667	34	NA
-0.5	25	8.333333	34	NA
-0.5	23	7.666667	34	NA
-0.5	21	7	34	NA
-0.5	20	6.666667	34	NA
-0.5	19	6.333333	34	NA
-0.5	18	6	34	NA
-0.5	15	5	34	NA
-0.5	13	4.333333	34	NA
-0.5	11	3.666667	34	NA
-0.5	10	3.333333	34	NA
-0.5	200	66.66667	36	14932222
-0.5	100	33.33333	36	NA
-0.5	50	16.66667	36	NA
-0.5	25	8.333333	36	NA
-0.5	23	7.666667	36	NA
-0.5	21	7	36	NA
-0.5	20	6.666667	36	NA
-0.5	19	6.333333	36	NA
-0.5	18	6	36	NA
-0.5	15	5	36	NA
-0.5	13	4.333333	36	NA
-0.5	11	3.666667	36	NA
-0.5	10	3.333333	36	NA
-0.4	200	66.66667	6	20211111
-0.4	100	33.33333	6	20092222
-0.4	50	16.66667	6	19955556
-0.4	25	8.333333	6	19344444
-0.4	23	7.666667	6	19184444
-0.4	21	7	6	19184444
-0.4	20	6.666667	6	19026667
-0.4	19	6.333333	6	19030000
-0.4	18	6	6	19046667
-0.4	15	5	6	18810000
-0.4	13	4.333333	6	18781111
-0.4	11	3.666667	6	18731111
-0.4	10	3.333333	6	18743333
-0.4	200	66.66667	8	18891111
-0.4	100	33.33333	8	18868889
-0.4	50	16.66667	8	18750000
-0.4	25	8.333333	8	18746667
-0.4	23	7.666667	8	18741111
-0.4	21	7	8	18715556
-0.4	20	6.666667	8	18773333
-0.4	19	6.333333	8	18750000
-0.4	18	6	8	18781111
-0.4	15	5	8	18480000
-0.4	13	4.333333	8	18964444
-0.4	11	3.666667	8	18601111
-0.4	10	3.333333	8	18633333
-0.4	200	66.66667	12	16616667
-0.4	100	33.33333	12	15127778
-0.4	50	16.66667	12	15798889
-0.4	25	8.333333	12	14743333
-0.4	23	7.666667	12	14651111
-0.4	21	7	12	14466667
-0.4	20	6.666667	12	14116667
-0.4	19	6.333333	12	13897778
-0.4	18	6	12	13854444
-0.4	15	5	12	14538889
-0.4	13	4.333333	12	14927778
-0.4	11	3.666667	12	15384444
-0.4	10	3.333333	12	15065556
-0.4	200	66.66667	16	15617778
-0.4	100	33.33333	16	13295556
-0.4	50	16.66667	16	13726667
-0.4	25	8.333333	16	11901111
-0.4	23	7.666667	16	11203333
-0.4	21	7	16	10924444
-0.4	20	6.666667	16	10741111
-0.4	19	6.333333	16	10420000
-0.4	18	6	16	10293333
-0.4	15	5	16	9824444
-0.4	13	4.333333	16	10442222
-0.4	11	3.666667	16	10051111
-0.4	10	3.333333	16	9748889
-0.4	200	66.66667	20	15143333
-0.4	100	33.33333	20	12078889
-0.4	50	16.66667	20	12364444
-0.4	25	8.333333	20	10876667
-0.4	23	7.666667	20	9754444
-0.4	21	7	20	9472222
-0.4	20	6.666667	20	8971111
-0.4	19	6.333333	20	8613333
-0.4	18	6	20	8533333
-0.4	15	5	20	7902222
-0.4	13	4.333333	20	8124444
-0.4	11	3.666667	20	6850000
-0.4	10	3.333333	20	6615556
-0.4	200	66.66667	24	14997778
-0.4	100	33.33333	24	11385556
-0.4	50	16.66667	24	11663333
-0.4	25	8.333333	24	10378889
-0.4	23	7.666667	24	8421111
-0.4	21	7	24	8167778
-0.4	20	6.666667	24	7882222
-0.4	19	6.333333	24	7496667
-0.4	18	6	24	7440000
-0.4	15	5	24	7046667
-0.4	13	4.333333	24	7010000
-0.4	11	3.666667	24	6068889
-0.4	10	3.333333	24	5857778
-0.4	200	66.66667	28	14932222
-0.4	100	33.33333	28	11184444
-0.4	50	16.66667	28	11436667
-0.4	25	8.333333	28	9858889
-0.4	23	7.666667	28	8060000
-0.4	21	7	28	7818889
-0.4	20	6.666667	28	7486667
-0.4	19	6.333333	28	7106667
-0.4	18	6	28	7060000
-0.4	15	5	28	6613333
-0.4	13	4.333333	28	6870000
-0.4	11	3.666667	28	5775556
-0.4	10	3.333333	28	5582222
-0.4	200	66.66667	30	14932222
-0.4	100	33.33333	30	11184444
-0.4	50	16.66667	30	11348889
-0.4	25	8.333333	30	9801111
-0.4	23	7.666667	30	8063333
-0.4	21	7	30	7831111
-0.4	20	6.666667	30	7515556
-0.4	19	6.333333	30	7135556
-0.4	18	6	30	7092222
-0.4	15	5	30	6504444
-0.4	13	4.333333	30	6663333
-0.4	11	3.666667	30	5523333
-0.4	10	3.333333	30	5333333
-0.4	200	66.66667	32	14932222
-0.4	100	33.33333	32	NA
-0.4	50	16.66667	32	NA
-0.4	25	8.333333	32	NA
-0.4	23	7.666667	32	NA
-0.4	21	7	32	NA
-0.4	20	6.666667	32	NA
-0.4	19	6.333333	32	NA
-0.4	18	6	32	NA
-0.4	15	5	32	NA
-0.4	13	4.333333	32	NA
-0.4	11	3.666667	32	NA
-0.4	10	3.333333	32	NA
-0.4	200	66.66667	34	14932222
-0.4	100	33.33333	34	NA
-0.4	50	16.66667	34	NA
-0.4	25	8.333333	34	NA
-0.4	23	7.666667	34	NA
-0.4	21	7	34	NA
-0.4	20	6.666667	34	NA
-0.4	19	6.333333	34	NA
-0.4	18	6	34	NA
-0.4	15	5	34	NA
-0.4	13	4.333333	34	NA
-0.4	11	3.666667	34	NA
-0.4	10	3.333333	34	NA
-0.4	200	66.66667	36	14932222
-0.4	100	33.33333	36	NA
-0.4	50	16.66667	36	NA
-0.4	25	8.333333	36	NA
-0.4	23	7.666667	36	NA
-0.4	21	7	36	NA
-0.4	20	6.666667	36	NA
-0.4	19	6.333333	36	NA
-0.4	18	6	36	NA
-0.4	15	5	36	NA
-0.4	13	4.333333	36	NA
-0.4	11	3.666667	36	NA
-0.4	10	3.333333	36	NA
-0.3	200	66.66667	6	20211111
-0.3	100	33.33333	6	20092222
-0.3	50	16.66667	6	19955556
-0.3	25	8.333333	6	19344444
-0.3	23	7.666667	6	19184444
-0.3	21	7	6	19184444
-0.3	20	6.666667	6	19026667
-0.3	19	6.333333	6	19030000
-0.3	18	6	6	19046667
-0.3	15	5	6	18810000
-0.3	13	4.333333	6	18781111
-0.3	11	3.666667	6	18731111
-0.3	10	3.333333	6	18743333
-0.3	200	66.66667	8	18891111
-0.3	100	33.33333	8	18868889
-0.3	50	16.66667	8	18750000
-0.3	25	8.333333	8	18746667
-0.3	23	7.666667	8	18741111
-0.3	21	7	8	18715556
-0.3	20	6.666667	8	18773333
-0.3	19	6.333333	8	18750000
-0.3	18	6	8	18781111
-0.3	15	5	8	18480000
-0.3	13	4.333333	8	18964444
-0.3	11	3.666667	8	18601111
-0.3	10	3.333333	8	18633333
-0.3	200	66.66667	12	16616667
-0.3	100	33.33333	12	15127778
-0.3	50	16.66667	12	15798889
-0.3	25	8.333333	12	14743333
-0.3	23	7.666667	12	14651111
-0.3	21	7	12	14466667
-0.3	20	6.666667	12	14116667
-0.3	19	6.333333	12	13897778
-0.3	18	6	12	13854444
-0.3	15	5	12	14538889
-0.3	13	4.333333	12	14927778
-0.3	11	3.666667	12	15384444
-0.3	10	3.333333	12	15065556
-0.3	200	66.66667	16	15617778
-0.3	100	33.33333	16	13295556
-0.3	50	16.66667	16	13726667
-0.3	25	8.333333	16	11901111
-0.3	23	7.666667	16	11203333
-0.3	21	7	16	10924444
-0.3	20	6.666667	16	10741111
-0.3	19	6.333333	16	10420000
-0.3	18	6	16	10293333
-0.3	15	5	16	9824444
-0.3	13	4.333333	16	10442222
-0.3	11	3.666667	16	10051111
-0.3	10	3.333333	16	9748889
-0.3	200	66.66667	20	15143333
-0.3	100	33.33333	20	12078889
-0.3	50	16.66667	20	12364444
-0.3	25	8.333333	20	10876667
-0.3	23	7.666667	20	9754444
-0.3	21	7	20	9472222
-0.3	20	6.666667	20	8971111
-0.3	19	6.333333	20	8613333
-0.3	18	6	20	8533333
-0.3	15	5	20	7902222
-0.3	13	4.333333	20	8124444
-0.3	11	3.666667	20	6850000
-0.3	10	3.333333	20	6615556
-0.3	200	66.66667	24	14997778
-0.3	100	33.33333	24	11385556
-0.3	50	16.66667	24	11663333
-0.3	25	8.333333	24	10378889
-0.3	23	7.666667	24	8421111
-0.3	21	7	24	8167778
-0.3	20	6.666667	24	7882222
-0.3	19	6.333333	24	7496667
-0.3	18	6	24	7440000
-0.3	15	5	24	7046667
-0.3	13	4.333333	24	7010000
-0.3	11	3.666667	24	6068889
-0.3	10	3.333333	24	5857778
-0.3	200	66.66667	28	14932222
-0.3	100	33.33333	28	11184444
-0.3	50	16.66667	28	11436667
-0.3	25	8.333333	28	9858889
-0.3	23	7.666667	28	8060000
-0.3	21	7	28	7818889
-0.3	20	6.666667	28	7486667
-0.3	19	6.333333	28	7106667
-0.3	18	6	28	7060000
-0.3	15	5	28	6613333
-0.3	13	4.333333	28	6870000
-0.3	11	3.666667	28	5775556
-0.3	10	3.333333	28	5582222
-0.3	200	66.66667	30	14932222
-0.3	100	33.33333	30	11184444
-0.3	50	16.66667	30	11348889
-0.3	25	8.333333	30	9801111
-0.3	23	7.666667	30	8063333
-0.3	21	7	30	7831111
-0.3	20	6.666667	30	7515556
-0.3	19	6.333333	30	7135556
-0.3	18	6	30	7092222
-0.3	15	5	30	6504444
-0.3	13	4.333333	30	6663333
-0.3	11	3.666667	30	5523333
-0.3	10	3.333333	30	5333333
-0.3	200	66.66667	32	14932222
-0.3	100	33.33333	32	NA
-0.3	50	16.66667	32	NA
-0.3	25	8.333333	32	NA
-0.3	23	7.666667	32	NA
-0.3	21	7	32	NA
-0.3	20	6.666667	32	NA
-0.3	19	6.333333	32	NA
-0.3	18	6	32	NA
-0.3	15	5	32	NA
-0.3	13	4.333333	32	NA
-0.3	11	3.666667	32	NA
-0.3	10	3.333333	32	NA
-0.3	200	66.66667	34	14932222
-0.3	100	33.33333	34	NA
-0.3	50	16.66667	34	NA
-0.3	25	8.333333	34	NA
-0.3	23	7.666667	34	NA
-0.3	21	7	34	NA
-0.3	20	6.666667	34	NA
-0.3	19	6.333333	34	NA
-0.3	18	6	34	NA
-0.3	15	5	34	NA
-0.3	13	4.333333	34	NA
-0.3	11	3.666667	34	NA
-0.3	10	3.333333	34	NA
-0.3	200	66.66667	36	14932222
-0.3	100	33.33333	36	NA
-0.3	50	16.66667	36	NA
-0.3	25	8.333333	36	NA
-0.3	23	7.666667	36	NA
-0.3	21	7	36	NA
-0.3	20	6.666667	36	NA
-0.3	19	6.333333	36	NA
-0.3	18	6	36	NA
-0.3	15	5	36	NA
-0.3	13	4.333333	36	NA
-0.3	11	3.666667	36	NA
-0.3	10	3.333333	36	NA
-0.2	200	66.66667	6	20211111
-0.2	100	33.33333	6	20092222
-0.2	50	16.66667	6	19955556
-0.2	25	8.333333	6	19344444
-0.2	23	7.666667	6	19184444
-0.2	21	7	6	19184444
-0.2	20	6.666667	6	19026667
-0.2	19	6.333333	6	19030000
-0.2	18	6	6	19046667
-0.2	15	5	6	18810000
-0.2	13	4.333333	6	18781111
-0.2	11	3.666667	6	18731111
-0.2	10	3.333333	6	18743333
-0.2	200	66.66667	8	18891111
-0.2	100	33.33333	8	18868889
-0.2	50	16.66667	8	18750000
-0.2	25	8.333333	8	18746667
-0.2	23	7.666667	8	18741111
-0.2	21	7	8	18715556
-0.2	20	6.666667	8	18773333
-0.2	19	6.333333	8	18750000
-0.2	18	6	8	18781111
-0.2	15	5	8	18480000
-0.2	13	4.333333	8	18964444
-0.2	11	3.666667	8	18601111
-0.2	10	3.333333	8	18633333
-0.2	200	66.66667	12	16616667
-0.2	100	33.33333	12	15127778
-0.2	50	16.66667	12	15798889
-0.2	25	8.333333	12	14743333
-0.2	23	7.666667	12	14651111
-0.2	21	7	12	14466667
-0.2	20	6.666667	12	14116667
-0.2	19	6.333333	12	13897778
-0.2	18	6	12	13854444
-0.2	15	5	12	14538889
-0.2	13	4.333333	12	14927778
-0.2	11	3.666667	12	15384444
-0.2	10	3.333333	12	15065556
-0.2	200	66.66667	16	15617778
-0.2	100	33.33333	16	13295556
-0.2	50	16.66667	16	13726667
-0.2	25	8.333333	16	11901111
-0.2	23	7.666667	16	11203333
-0.2	21	7	16	10924444
-0.2	20	6.666667	16	10741111
-0.2	19	6.333333	16	10420000
-0.2	18	6	16	10293333
-0.2	15	5	16	9824444
-0.2	13	4.333333	16	10442222
-0.2	11	3.666667	16	10051111
-0.2	10	3.333333	16	9748889
-0.2	200	66.66667	20	15143333
-0.2	100	33.33333	20	12078889
-0.2	50	16.66667	20	12364444
-0.2	25	8.333333	20	10876667
-0.2	23	7.666667	20	9754444
-0.2	21	7	20	9472222
-0.2	20	6.666667	20	8971111
-0.2	19	6.333333	20	8613333
-0.2	18	6	20	8533333
-0.2	15	5	20	7902222
-0.2	13	4.333333	20	8124444
-0.2	11	3.666667	20	6850000
-0.2	10	3.333333	20	6615556
-0.2	200	66.66667	24	14997778
-0.2	100	33.33333	24	11385556
-0.2	50	16.66667	24	11663333
-0.2	25	8.333333	24	10378889
-0.2	23	7.666667	24	8421111
-0.2	21	7	24	8167778
-0.2	20	6.666667	24	7882222
-0.2	19	6.333333	24	7496667
-0.2	18	6	24	7440000
-0.2	15	5	24	7046667
-0.2	13	4.333333	24	7010000
-0.2	11	3.666667	24	6068889
-0.2	10	3.333333	24	5857778
-0.2	200	66.66667	28	14932222
-0.2	100	33.33333	28	11184444
-0.2	50	16.66667	28	11436667
-0.2	25	8.333333	28	9858889
-0.2	23	7.666667	28	8060000
-0.2	21	7	28	7818889
-0.2	20	6.666667	28	7486667
-0.2	19	6.333333	28	7106667
-0.2	18	6	28	7060000
-0.2	15	5	28	6613333
-0.2	13	4.333333	28	6870000
-0.2	11	3.666667	28	5775556
-0.2	10	3.333333	28	5582222
-0.2	200	66.66667	30	14932222
-0.2	100	33.33333	30	11184444
-0.2	50	16.66667	30	11348889
-0.2	25	8.333333	30	9801111
-0.2	23	7.666667	30	8063333
-0.2	21	7	30	7831111
-0.2	20	6.666667	30	7515556
-0.2	19	6.333333	30	7135556
-0.2	18	6	30	7092222
-0.2	15	5	30	6504444
-0.2	13	4.333333	30	6663333
-0.2	11	3.666667	30	5523333
-0.2	10	3.333333	30	5333333
-0.2	200	66.66667	32	14932222
-0.2	100	33.33333	32	NA
-0.2	50	16.66667	32	NA
-0.2	25	8.333333	32	NA
-0.2	23	7.666667	32	NA
-0.2	21	7	32	NA
-0.2	20	6.666667	32	NA
-0.2	19	6.333333	32	NA
-0.2	18	6	32	NA
-0.2	15	5	32	NA
-0.2	13	4.333333	32	NA
-0.2	11	3.666667	32	NA
-0.2	10	3.333333	32	NA
-0.2	200	66.66667	34	14932222
-0.2	100	33.33333	34	NA
-0.2	50	16.66667	34	NA
-0.2	25	8.333333	34	NA
-0.2	23	7.666667	34	NA
-0.2	21	7	34	NA
-0.2	20	6.666667	34	NA
-0.2	19	6.333333	34	NA
-0.2	18	6	34	NA
-0.2	15	5	34	NA
-0.2	13	4.333333	34	NA
-0.2	11	3.666667	34	NA
-0.2	10	3.333333	34	NA
-0.2	200	66.66667	36	14932222
-0.2	100	33.33333	36	NA
-0.2	50	16.66667	36	NA
-0.2	25	8.333333	36	NA
-0.2	23	7.666667	36	NA
-0.2	21	7	36	NA
-0.2	20	6.666667	36	NA
-0.2	19	6.333333	36	NA
-0.2	18	6	36	NA
-0.2	15	5	36	NA
-0.2	13	4.333333	36	NA
-0.2	11	3.666667	36	NA
-0.2	10	3.333333	36	NA
-0.1	200	66.66667	6	20211111
-0.1	100	33.33333	6	20092222
-0.1	50	16.66667	6	19955556
-0.1	25	8.333333	6	19344444
-0.1	23	7.666667	6	19184444
-0.1	21	7	6	19184444
-0.1	20	6.666667	6	19026667
-0.1	19	6.333333	6	19030000
-0.1	18	6	6	19046667
-0.1	15	5	6	18810000
-0.1	13	4.333333	6	18781111
-0.1	11	3.666667	6	18731111
-0.1	10	3.333333	6	18743333
-0.1	200	66.66667	8	18891111
-0.1	100	33.33333	8	18868889
-0.1	50	16.66667	8	18750000
-0.1	25	8.333333	8	18746667
-0.1	23	7.666667	8	18741111
-0.1	21	7	8	18715556
-0.1	20	6.666667	8	18773333
-0.1	19	6.333333	8	18750000
-0.1	18	6	8	18781111
-0.1	15	5	8	18480000
-0.1	13	4.333333	8	18964444
-0.1	11	3.666667	8	18601111
-0.1	10	3.333333	8	18633333
-0.1	200	66.66667	12	16616667
-0.1	100	33.33333	12	15127778
-0.1	50	16.66667	12	15798889
-0.1	25	8.333333	12	14743333
-0.1	23	7.666667	12	14651111
-0.1	21	7	12	14466667
-0.1	20	6.666667	12	14116667
-0.1	19	6.333333	12	13897778
-0.1	18	6	12	13854444
-0.1	15	5	12	14538889
-0.1	13	4.333333	12	14927778
-0.1	11	3.666667	12	15384444
-0.1	10	3.333333	12	15065556
-0.1	200	66.66667	16	15617778
-0.1	100	33.33333	16	13295556
-0.1	50	16.66667	16	13726667
-0.1	25	8.333333	16	11901111
-0.1	23	7.666667	16	11203333
-0.1	21	7	16	10924444
-0.1	20	6.666667	16	10741111
-0.1	19	6.333333	16	10420000
-0.1	18	6	16	10293333
-0.1	15	5	16	9824444
-0.1	13	4.333333	16	10442222
-0.1	11	3.666667	16	10051111
-0.1	10	3.333333	16	9748889
-0.1	200	66.66667	20	15143333
-0.1	100	33.33333	20	12078889
-0.1	50	16.66667	20	12364444
-0.1	25	8.333333	20	10876667
-0.1	23	7.666667	20	9754444
-0.1	21	7	20	9472222
-0.1	20	6.666667	20	8971111
-0.1	19	6.333333	20	8613333
-0.1	18	6	20	8533333
-0.1	15	5	20	7902222
-0.1	13	4.333333	20	8124444
-0.1	11	3.666667	20	6850000
-0.1	10	3.333333	20	6615556
-0.1	200	66.66667	24	14997778
-0.1	100	33.33333	24	11385556
-0.1	50	16.66667	24	11663333
-0.1	25	8.333333	24	10378889
-0.1	23	7.666667	24	8421111
-0.1	21	7	24	8167778
-0.1	20	6.666667	24	7882222
-0.1	19	6.333333	24	7496667
-0.1	18	6	24	7440000
-0.1	15	5	24	7046667
-0.1	13	4.333333	24	7010000
-0.1	11	3.666667	24	6068889
-0.1	10	3.333333	24	5857778
-0.1	200	66.66667	28	14932222
-0.1	100	33.33333	28	11184444
-0.1	50	16.66667	28	11436667
-0.1	25	8.333333	28	9858889
-0.1	23	7.666667	28	8060000
-0.1	21	7	28	7818889
-0.1	20	6.666667	28	7486667
-0.1	19	6.333333	28	7106667
-0.1	18	6	28	7060000
-0.1	15	5	28	6613333
-0.1	13	4.333333	28	6870000
-0.1	11	3.666667	28	5775556
-0.1	10	3.333333	28	5582222
-0.1	200	66.66667	30	14932222
-0.1	100	33.33333	30	11184444
-0.1	50	16.66667	30	11348889
-0.1	25	8.333333	30	9801111
-0.1	23	7.666667	30	8063333
-0.1	21	7	30	7831111
-0.1	20	6.666667	30	7515556
-0.1	19	6.333333	30	7135556
-0.1	18	6	30	7092222
-0.1	15	5	30	6504444
-0.1	13	4.333333	30	6663333
-0.1	11	3.666667	30	5523333
-0.1	10	3.333333	30	5333333
-0.1	200	66.66667	32	14932222
-0.1	100	33.33333	32	NA
-0.1	50	16.66667	32	NA
-0.1	25	8.333333	32	NA
-0.1	23	7.666667	32	NA
-0.1	21	7	32	NA
-0.1	20	6.666667	32	NA
-0.1	19	6.333333	32	NA
-0.1	18	6	32	NA
-0.1	15	5	32	NA
-0.1	13	4.333333	32	NA
-0.1	11	3.666667	32	NA
-0.1	10	3.333333	32	NA
-0.1	200	66.66667	34	14932222
-0.1	100	33.33333	34	NA
-0.1	50	16.66667	34	NA
-0.1	25	8.333333	34	NA
-0.1	23	7.666667	34	NA
-0.1	21	7	34	NA
-0.1	20	6.666667	34	NA
-0.1	19	6.333333	34	NA
-0.1	18	6	34	NA
-0.1	15	5	34	NA
-0.1	13	4.333333	34	NA
-0.1	11	3.666667	34	NA
-0.1	10	3.333333	34	NA
-0.1	200	66.66667	36	14932222
-0.1	100	33.33333	36	NA
-0.1	50	16.66667	36	NA
-0.1	25	8.333333	36	NA
-0.1	23	7.666667	36	NA
-0.1	21	7	36	NA
-0.1	20	6.666667	36	NA
-0.1	19	6.333333	36	NA
-0.1	18	6	36	NA
-0.1	15	5	36	NA
-0.1	13	4.333333	36	NA
-0.1	11	3.666667	36	NA
-0.1	10	3.333333	36	NA
0.01	200	66.66667	6	0
0.01	100	33.33333	6	0
0.01	50	16.66667	6	0
0.01	25	8.333333	6	0
0.01	23	7.666667	6	0
0.01	21	7	6	0
0.01	20	6.666667	6	0
0.01	19	6.333333	6	0
0.01	18	6	6	0
0.01	15	5	6	0
0.01	13	4.333333	6	0
0.01	11	3.666667	6	0
0.01	10	3.333333	6	0
0.01	200	66.66667	8	0
0.01	100	33.33333	8	0
0.01	50	16.66667	8	0
0.01	25	8.333333	8	0
0.01	23	7.666667	8	0
0.01	21	7	8	0
0.01	20	6.666667	8	0
0.01	19	6.333333	8	0
0.01	18	6	8	0
0.01	15	5	8	0
0.01	13	4.333333	8	0
0.01	11	3.666667	8	0
0.01	10	3.333333	8	0
0.01	200	66.66667	12	0
0.01	100	33.33333	12	0
0.01	50	16.66667	12	0
0.01	25	8.333333	12	0
0.01	23	7.666667	12	0
0.01	21	7	12	0
0.01	20	6.666667	12	0
0.01	19	6.333333	12	0
0.01	18	6	12	0
0.01	15	5	12	0
0.01	13	4.333333	12	0
0.01	11	3.666667	12	0
0.01	10	3.333333	12	0
0.01	200	66.66667	16	0
0.01	100	33.33333	16	0
0.01	50	16.66667	16	0
0.01	25	8.333333	16	0
0.01	23	7.666667	16	0
0.01	21	7	16	0
0.01	20	6.666667	16	0
0.01	19	6.333333	16	0
0.01	18	6	16	0
0.01	15	5	16	0
0.01	13	4.333333	16	0
0.01	11	3.666667	16	0
0.01	10	3.333333	16	0
0.01	200	66.66667	20	0
0.01	100	33.33333	20	0
0.01	50	16.66667	20	0
0.01	25	8.333333	20	0
0.01	23	7.666667	20	0
0.01	21	7	20	0
0.01	20	6.666667	20	0
0.01	19	6.333333	20	0
0.01	18	6	20	0
0.01	15	5	20	0
0.01	13	4.333333	20	0
0.01	11	3.666667	20	0
0.01	10	3.333333	20	0
0.01	200	66.66667	24	0
0.01	100	33.33333	24	0
0.01	50	16.66667	24	0
0.01	25	8.333333	24	0
0.01	23	7.666667	24	0
0.01	21	7	24	0
0.01	20	6.666667	24	0
0.01	19	6.333333	24	0
0.01	18	6	24	0
0.01	15	5	24	0
0.01	13	4.333333	24	0
0.01	11	3.666667	24	0
0.01	10	3.333333	24	0
0.01	200	66.66667	28	0
0.01	100	33.33333	28	0
0.01	50	16.66667	28	0
0.01	25	8.333333	28	0
0.01	23	7.666667	28	0
0.01	21	7	28	0
0.01	20	6.666667	28	0
0.01	19	6.333333	28	0
0.01	18	6	28	0
0.01	15	5	28	0
0.01	13	4.333333	28	0
0.01	11	3.666667	28	0
0.01	10	3.333333	28	0
0.01	200	66.66667	30	0
0.01	100	33.33333	30	0
0.01	50	16.66667	30	0
0.01	25	8.333333	30	0
0.01	23	7.666667	30	0
0.01	21	7	30	0
0.01	20	6.666667	30	0
0.01	19	6.333333	30	0
0.01	18	6	30	0
0.01	15	5	30	0
0.01	13	4.333333	30	0
0.01	11	3.666667	30	0
0.01	10	3.333333	30	0
0.01	200	66.66667	32	0
0.01	100	33.33333	32	0
0.01	50	16.66667	32	0
0.01	25	8.333333	32	0
0.01	23	7.666667	32	0
0.01	21	7	32	0
0.01	20	6.666667	32	0
0.01	19	6.333333	32	0
0.01	18	6	32	0
0.01	15	5	32	0
0.01	13	4.333333	32	0
0.01	11	3.666667	32	0
0.01	10	3.333333	32	0
0.01	200	66.66667	34	0
0.01	100	33.33333	34	0
0.01	50	16.66667	34	0
0.01	25	8.333333	34	0
0.01	23	7.666667	34	0
