Feature	Gain	Cover	Frequency
cliente_antiguedad	0.356424762302414	0.0319967976718311	0.042199875052901
Visa_mpagospesos	0.0892145499820331	0.0238374659744099	0.0267830152556377
Master_mpagospesos	0.0624762534424734	0.0174383857434267	0.0136635698595353
mrentabilidad_annual	0.039385621710592	0.0327662944295432	0.0420789585054715
Visa_delinquency	0.0292229142683234	0.0141296759229565	0.00572338324499708
mcaja_ahorro_adicional	0.0222441632773766	0.0182453932243865	0.0266419459503033
mpasivos_margen	0.018872122693348	0.016057427739915	0.0222083392112211
ctrx_quarter	0.0174021513461539	0.0313266481845035	0.0373229076399105
Master_delinquency	0.016134966388491	0.00726000335857338	0.00352673263336088
mtarjeta_master_consumo	0.0136607665279614	0.0107303844161632	0.00838354728844642
mcomisiones_mantenimiento	0.0132882746719862	0.0282819252170491	0.0300074565204248
mactivos_margen	0.0131378571948177	0.0266307714051449	0.0292819572358477
Master_mfinanciacion_limite	0.0128506873633129	0.0267903422223868	0.0293625682674674
mcuenta_corriente	0.0127388309189489	0.0297359735823253	0.0251103363495294
Master_mpagominimo	0.0125629223637034	0.0248759147572609	0.0146107494810665
cliente_edad	0.0124352384942125	0.0212008353978796	0.0312972330263397
tcallcenter	0.0122858347555905	0.0045560232137794	0.00455452328651176
Visa_mpagominimo	0.0120233304854509	0.0215154972876607	0.0241631567279982
numero_de_cliente	0.0112969522636793	0.0195216038264845	0.0297454706676609
ctarjeta_master_transacciones	0.00989570898407146	0.0055335080235435	0.00471574534975111
mcuentas_saldo	0.00873601448742144	0.023377788121285	0.0270651538663066
chomebanking_transacciones	0.00859722088967322	0.021747261986479	0.0276294310876443
Visa_msaldototal	0.00755241043451282	0.0116332674649717	0.013240361943532
Visa_mfinanciacion_limite	0.00744807898369063	0.0168774793396412	0.0188428286410995
mrentabilidad	0.00696734195389716	0.0150077536969903	0.022732310916749
Master_mconsumospesos	0.0069331600615602	0.00762219662792683	0.00723484008786603
mpayroll	0.00675872947421795	0.0120390356480008	0.0142076943229681
Visa_mlimitecompra	0.00638089906730569	0.0144030877710164	0.018218093146047
ccallcenter_transacciones	0.00626556392173395	0.0094722428703007	0.00612643840309546
ccomisiones_otras	0.00623320264784427	0.0135571517999928	0.0170895387033716
cproductos	0.00622433380017847	0.0135601062002571	0.0162431228713649
mdescubierto_preacordado	0.00599935717532648	0.00307672863828791	0.00346627435964612
ctarjeta_visa_transacciones	0.00574159739921083	0.0123350879371959	0.0149130408496403
Visa_mconsumospesos	0.00536680789302255	0.0107921565495382	0.0170089276717519
mcomisiones	0.00532667538132323	0.0106517976347567	0.0183390096934766
Visa_msaldopesos	0.00494126553349425	0.011923248923145	0.0161625118397453
mtarjeta_visa_consumo	0.00486534656269268	0.0116075517647616	0.0120916547429516
tpaquete1	0.00475285689969292	0.00361630014171572	0.00493742568670523
Visa_cconsumos	0.00450788497276027	0.00987919706341565	0.0154974708288829
Master_mlimitecompra	0.00436463734311837	0.0136899596953531	0.0123737933536204
ccajas_transacciones	0.0041679188069318	0.00302664395032797	0.00290199713830838
cpayroll_trx	0.00415736141159545	0.00807469068647782	0.00648918804538401
ctarjeta_debito	0.00413678407224411	0.00530586381329339	0.0040708570967937
mcomisiones_otras	0.00402461789264725	0.00955083894853881	0.0139457084702041
Master_msaldototal	0.00390708776907212	0.0151946884098697	0.00914935208883336
Master_msaldopesos	0.0036125190509075	0.00937916963311407	0.00677132665605288
Visa_mconsumosdolares	0.00355904811953836	0.0101665661119149	0.0129582233328631
mautoservicio	0.00341634308814958	0.0129870714156159	0.01249470990105
ctarjeta_debito_transacciones	0.00309479272973296	0.0114093546044822	0.0115072247637089
thomebanking	0.00303113598190589	0.00222268782230463	0.00368795469660023
matm	0.00268091459201378	0.0139228791934655	0.0105600451421777
mprestamos_personales	0.00267182617672941	0.0178832683531511	0.00959271276274158
ccajas_extracciones	0.00256704208609116	0.00495761313507259	0.0028213861066887
mttarjeta_visa_debitos_automaticos	0.00237778263052248	0.00963768729292312	0.0102980592894138
active_quarter	0.00225288704608369	0.00116210726781761	0.00143084581124927
