Feature	Gain	Cover	Frequency
cliente_antiguedad	0.190930500181797	0.0340097748706037	0.0378804091940247
Visa_mpagospesos	0.141612801121428	0.0263081974886048	0.0270941231862346
Master_mpagospesos	0.0704116919345652	0.0178571901563464	0.0118135513418653
mrentabilidad_annual	0.0436218363046027	0.0287723937401606	0.032915293412661
numero_de_cliente	0.0323173056895259	0.0192097300358581	0.0335573342464581
Visa_delinquency	0.0273324349178725	0.00517478148151048	0.00209733339040363
ctrx_quarter	0.0269520012425912	0.0249035508258984	0.0296622865214228
mcaja_ahorro_adicional	0.0207304576283573	0.0194239326229011	0.0273509395197535
Master_delinquency	0.0193887302149133	0.00472405160455582	0.00149809527885974
mpasivos_margen	0.0163393748512594	0.0157999572944743	0.0233274836279587
Visa_msaldototal	0.0152977725474151	0.013028800939005	0.017078286179001
mactivos_margen	0.0152465310121759	0.0245123668674791	0.0260240551299063
cliente_edad	0.0147431189902955	0.0178823423873606	0.0343705859692677
Master_mfinanciacion_limite	0.0146932158924805	0.0182876092601569	0.0286350211873475
mcuenta_corriente	0.0138063067094854	0.028487320528306	0.0224286264606429
Visa_mpagominimo	0.0120081093649823	0.0190754206247287	0.0220862046826178
mcomisiones_mantenimiento	0.0117586323815957	0.0180265828070221	0.0233274836279587
tcallcenter	0.011247212808499	0.00447421486603095	0.0043658776698198
cproductos	0.0109719466948885	0.00813228835968248	0.016778667123229
mcuentas_saldo	0.0108960873803866	0.0165929056392126	0.0245687625732997
Master_mpagominimo	0.0108429619675914	0.0204305983143686	0.0124983948979155
ctarjeta_visa_transacciones	0.00995621203688968	0.0130398045840207	0.0146385310105723
Visa_mlimitecompra	0.00965584411290652	0.0146521742337875	0.0222574155716304
mrentabilidad	0.00941518769562666	0.0124338744234697	0.0245687625732997
Master_mconsumospesos	0.00939168381551135	0.00969092402941193	0.00898857167315841
Visa_mfinanciacion_limite	0.00920080626983482	0.0156514117351846	0.0201600821812267
mpayroll	0.00867673619225097	0.0168474123597071	0.0140820956212815
chomebanking_transacciones	0.00841403023554277	0.0211041301123524	0.0228138509609211
Visa_msaldopesos	0.00831560275815463	0.00900557863641445	0.0166074562342165
mcomisiones	0.00789523999344566	0.00879355415814939	0.0191756195694046
mtarjeta_master_consumo	0.00764574915933711	0.0109204390714129	0.00911697983991782
Master_mconsumosdolares	0.00714930098468729	0.00200266704129651	0.00162650344561914
Master_mlimitecompra	0.00689890799555979	0.0103143812160424	0.0141677010657878
Visa_mconsumospesos	0.00689715410521603	0.00980171935163984	0.0199888712922142
Master_madelantopesos	0.00663689698497608	0.00143421713447469	0.000342421778025082
ccallcenter_transacciones	0.00649705089274978	0.0101126124559934	0.00526473483713564
ccomisiones_otras	0.00637569896995243	0.0149500643570945	0.0157085990669007
mcomisiones_otras	0.00617979789456401	0.0114734561471947	0.0161794290116851
Master_msaldototal	0.00607653181462755	0.012860075949814	0.00928819072893036
Visa_cconsumos	0.00542094239835485	0.01136916231549	0.0158370072336601
mtarjeta_visa_consumo	0.00503103154381813	0.00902443368861656	0.011385524119334
mautoservicio	0.00496549115794557	0.0157097938066509	0.0144245173993066
ctarjeta_debito_transacciones	0.00475771004100992	0.0118428371272936	0.012327184008903
ccomisiones_mantenimiento	0.00419013336936866	0.00531785805410301	0.00475110217009802
matm	0.00403205037276455	0.00926395268572743	0.0114283268415871
mprestamos_personales	0.00394704256366122	0.0110005511527314	0.0080041090613363
Master_tconsumos	0.00392398076115747	0.00613751285822985	0.00487951033685742
mttarjeta_visa_debitos_automaticos	0.0038850247998676	0.00872398237207312	0.0131404357317125
ccuenta_corriente	0.00380327477635936	0.0023720188340081	0.00171210889012541
Visa_mconsumototal	0.0036059078675675	0.00512001134922368	0.0106578778410307
tpaquete1	0.00358062642802638	0.00285169165390381	0.00428027222531353
Visa_mconsumosdolares	0.00355606161527279	0.00769650242503043	0.0115995377305997
thomebanking	0.0035275173957413	0.0027998949866992	0.00376663955827591
ccajas_extracciones	0.00335918192940307	0.00685264762840037	0.00261096605744125
Master_msaldopesos	0.00323204474546342	0.0100575796372208	0.00719085733852673
mextraccion_autoservicio	0.0029718270978577	0.00663103874182747	0.00881736078414587
ccajas_transacciones	0.00282850361096502	0.00155429769429053	0.00252536061293498
cpayroll_trx	0.00280916356914364	0.00762266563198352	0.00522193211488251
ctarjeta_master_transacciones	0.00278118315044765	0.00603738552606365	0.00483670761460429
ctarjeta_debito	0.00270217113487116	0.00934358682357874	0.00432307494756667
catm_trx	0.00257927294638561	0.00759771041583366	0.00697684372726105
